Theme,p_collect,o_collect,o_predicted,p_score,o_score,Resources
Fire in the Winter,61,7,28814,79762,30427,NI
The Queen,64,3,44019,97889,47307,NI
A Growing Lady,64,42,48733,82225,48908,NI
Where is Spring,64,10,49632,83677,58707,NI
Summer Party,64,27,43859,79547,49260,NI
Intern Translator,64,27,71429,131440,96133,NI
Fairytale Garden,64,5,46626,80700,50454,NI
Golden Odeum,64,24,53807,74532,70036,NI
Great Detective,64,8,48027,84616,48643,NI
Where is Spring,64,6,51079,79771,57001,NI
Office Star,64,44,46527,84750,56635,NI
Fire in the Winter,64,30,29346,82479,29456,NI
Golden Odeum,64,5,52227,78781,64276,NI
Imperial Ball,64,40,44583,92744,48177,NI
Summer Story,64,8,38441,74422,41498,NI
Imperial Ball,64,37,62762,93736,62472,NI
Great Detective,64,26,8955,78801,8944,NI
Fairytale Garden,96,3,48060,84654,48177,NI
Fire in the Winter,96,14,27958,88307,27971,NI
Ongoing Sports,96,34,48624,76256,54798,NI
Beach Party,96,12,25415,75022,28531,NI
Great Detective,61,41,40485,85044,40789,NI
Summer Story,61,17,35966,79840,42519,NI
Summer Party,61,50,48501,76579,59147,NI
Ongoing Sports,61,30,43816,78619,51748,NI
Where is Spring,61,18,46067,79395,52427,NI
Cloud Lady,61,13,43536,142275,46962,NI
Imperial Ball,61,20,46465,89579,41050,NI
Fire in the Winter,61,14,29200,87051,27417,NI
Where is Spring,61,43,57032,86945,64534,NI
Imperial Ball,61,11,45967,85217,47547,NI
Beach Party,61,21,26325,75467,23315,NI
Fire in the Winter,61,7,9576,80521,10128,NI
The Queen,61,16,24419,91763,22822,NI
Fairytale Garden,61,11,46614,91200,47102,NI
Summer Story,61,18,46058,85022,47506,NI
Beach Party,60,10,37460,75885,43788,NI
Christmas Reunion,60,41,55510,75749,60237,NI
Fire in the Winter,60,7,43664,82447,48738,NI
A Growing Lady,60,45,51654,87809,57589,NI
Where is Spring,60,19,51279,83231,65389,NI
Ongoing Sports,60,8,38164,80790,45274,NI
Beach Party,60,15,33717,67595,35571,NI
Great Detective,60,37,48141,82032,63588,NI
Ongoing Sports,60,45,49748,81492,59376,NI
Beach Party,61,9,44070,66336,41903,NI
Spring Outing,61,12,41889,79459,50658,NI
Summer Story,61,33,39516,76290,45499,NI
Summer Party,61,14,46449,77946,50018,NI
Christmas Reunion,61,16,45810,78393,47148,NI
Office Star,61,14,47422,75694,53162,NI
Christmas Reunion,61,35,38837,75708,48482,NI
Summer Party,61,13,44742,77526,43762,NI
The Queen,61,5,47128,87812,48525,NI
A Growing Lady,61,7,44178,73544,55315,NI
Fairytale Garden,96,61,65265,84919,75651,NI
Fire in the Winter,96,16,38273,84878,43729,NI
Intern Translator,96,29,91607,141787,114516,NI
Summer Party,96,42,58410,86323,69338,NI
Spring Outing,96,50,64477,88598,83223,NI
Golden Odeum,96,20,56816,83352,65879,NI
Cloud Lady,96,47,68714,143350,73003,NI
Fire in the Winter,96,35,60192,85918,68913,NI
Golden Odeum,96,24,71404,81692,82035,NI
Beach Party,96,46,60735,87513,71861,NI
Cloud Lady,96,16,62960,147818,67134,NI
Great Detective,96,28,15120,77925,17171,NI
Christmas Reunion,96,27,36497,77101,37717,NI
Great Detective,96,53,37596,84554,45138,NI
